Editor*,Name,Company / Organisation name,Value Proposition text,Data & Software,Distribution,Renovation and maintenance,Renewable Decentralized Electricity Production,Self-consumption community,Self-consumption optimization,Home Automation,Mobility,Other Scope,All,Economic value,Emotional value,Ethical/ Normative value,Epistemic value (Knowledge/ Innovation),Functional value,Social value,Other value,Uncertain value,#REF!,No Value,Capital provider,Contractor,Developer,Infrastructure operator,Local authority,Owner (functional building),Owner (residential - multi),Owner (residential - single),User (tenant),Other customer,Uncertain customer,#REF!,No Customer,B2B,B2C,Advertising ,Asset selling,Brokerage fees,Lending / Renting / Leasing,Licensing,Other stream,Uncertain stream,#REF!,No Revenue,One-time payment,Payment by installments,Subscription fee,Usage fee,Other invoicing,Uncertain invoicing,#REF!,No Invoicing,Payment,Fees,Intermediary,Online,Physical Store,Sales force,Other channel,Uncertain channel,#REF!,No Channel,Atomised,Platform,One-stop-shop,Analysis software,Uncertain,No Archetype
BuF,ecocoach Energiemanagement Paket,ecocoach AG,"Vernetzen Sie Ihre Verbraucher digital und erreichen Sie durch automatisiertes Energiemanagement und maximale Energieeffizienz und ideale Energieverteilung.
- Optimale Effizienz und Verteilung
- Technische Komponenten im Industriestandard
- Zukünftige Flexibilität nach der Installation
- Einfache Erweiterbarkeit",1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Energie-Management,E-Man AG,"Unsere Lösung: Zusammenschluss zum Eigenverbrauch (ZEV)
Dies ist die ökonomischste und ökologischste Lösung für die Verteilung der elektrischen Energie in Ihrer Immobilie. Zusätzlich optimieren Sie damit auch gleich den Eigenverbrauch der selbst produzierten elektrischen Energie. Einen Autarkiegrad von über 35% (ohne E-Speicher) ist mit unserer Lösung realistisch.",0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,energybase,EnBW Energie Baden-Württemberg AG,Die auf den ersten Blick unscheinbare Box optimiert mit ihrem selbstlernenden Algorithmus automatisch den Energieverbrauch und steuert die Energieflüsse im Haus Ihrer Kunden. Steigern Sie durch das intelligente Energie-Management-System den Energie-Eigenverbrauch und binden Sie Ihre Kunden langfristig an sich! Bieten Sie Ihren Kunden mit energybase ein sicheres und verlässliches Produkt mit Zukunft.,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,e.manager,nD-enerserve GmbH,"Als Zentrale steuert, regelt und überwacht der e.manager alle energetischen Komponenten in Ihrem Wohn- oder Gewerbegebäude.
In der Verteilung integriert, vernetzt er Energieerzeuger und -verbraucher auf intelligente Weise und optimiert somit Ihre Energiekosten.",0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BuF,SMARTPOWER,evulution,"Mit SMARTPOWER liefern wir massgeschneiderte Lösungen für Smart Metering, Lastmanagement und Energiemanagement. SMARTPOWER bietet den Energieversorgern Möglichkeiten für neue Anwendungen und Geschäftsmodelle. Auch Multi-Utility-Anwendungen und weitere kundenspezifische Lösungen werden unterstützt. SMARTPOWER kann um ein modernes Kundenportal und eine Endkunden-App für Smartphones und Tablets erweitert werden.",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,eibp:boost,GreenCom Networks AG,"Boost Your Customers' Energy Flows
Take advantage of millions of distributed assets for purposes of optimization, forecasting, and much more.",1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,gridBox,gridX GmbH,"Die gridBox ist das IoT-gateway für den Energiesektor. Installiert in einem Haushalt, überwacht und managt die gridBox den Energieverbrauch. Sie erhöht den Autarkiegrad durch die intelligente Steuerung von Stromerzeugung, -speicherung und -verbrauch.",0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Invisia Cube,Invisia AG,Das Herzstück unseres Energie- und Lademanagements ist ein Wandschrank voller Ideen. Der Invisia Cube enthält alle für Ihre gewählten Module benötigten Komponenten sowie eine SPS Steuerung mit der einzigartigen Invisia Logik.,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,The Independent Home,Kiwigrid GmbH,"The Independent Home
100% Autarkie, intelligentes Laden und digitales Upselling für Eigenheime
Erschliessen Sie ein neues, digitales Energiegeschäft",0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,The Electrifying City,Kiwigrid GmbH,"The Electrifying City
Smart Meterin, E-Mobilität und Management von dezentralen Energieanlagen für die Wohnungswirtschaft
Die Vision der 100% elektrisierenden Stadt",0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,BN SwissLink System,Broadband Networks,"Das einzigartige BN SwissLink System ist eine offene und intelligente Plattform für den Energiemarkt, das Ihnen den Zugang zu neuen Geschäftsmodellen und professionellen Dienstleistungen im Energiebereich eröffnet.",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Smart Energy Management System - SEMS,LEVION Technologies GmbH,"Energiemanagement für jeden Haushalt:
SEMS ist ausschließlich im Fachhandel erhältlich und steuert den Energieverbrauch in Gebäuden – vom Einfamilienhaus oder der Wohnung bis  zum Gewerbebetrieb. Das Energiemanagementsystem verteilt dazu Energie intelligent an Geräte aller Art und Generation.",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Climkit Optimierung,novagrid ag,"Investieren Sie in Solargemeinschaften
Mit unserer integrierten Verwaltungslösung
Climkit - Die Verrechnungslösung für ZEV",0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,OLI SharEnergy,OLI Systems GmbH,"OLI - Die Energiewende neu gedacht
OLI lässt Verbraucher und dezentrale Erzeuger aktiv an der Energiewende teilnehmen.
Mittels blockchaingestützer Software- und Hardware-Komponenten bilden sie ein verteiltes Netzwerk, in der Sie Strom in der Nachbarschaft, im Quartier, in der Region und deutschlandweit teilen können.",1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,PL Datenlogger,PLEXLOG GmbH,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Smappee Infinity,Smappee NV,"Smappee Infinity.
• Smart energy management solution for any energy need.
• Monitor and see energy, solar, gas and water at a glance.
• Real-time and historical data via App and Dashboard.
• Smart control and dynamic load balancing.
• Interoperable with IoT products and services.
• Easy installation, low maintenance, over-the-air updates.
• Modular, future-proof solution.",0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,Smart Grid,Smart energy Link AG,"Smart Energy Link misst, steuert und verrechnet den Energiehaushalt mit Hilfe von Smart Grids. Das intelligente System sorgt für einen optimalen Eigenverbrauch, indem es alle relevanten Komponenten steuert: Wärmepumpen, Haushaltsgeräte, Autoladestationen, Elektroboiler und Batteriespeicher.
Zusatzmodule wie Smart Home lassen sich problemlos ergänzen – regelmässige Updates tragen dazu bei, dass das System stetig weiterentwickelt wird und garantieren eine langfristige Investition.",0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,smart1 EASY (Partner),smart1 solutions GmbH,"smart1 EASY
6 Wünsche - Eine Lösung!
Hier finden Sie die einfachste Lösungen, um das Beste aus Ihrem selbst produzierten Strom zu machen",0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,smart1 EASY (Privat),smart1 solutions GmbH,"Faire Energie - Future Ready
6 Wünsche - Eine Lösung
In der Zukunft kommt es darauf an, was Sie aus Ihrem selbst produzierten Strom machen. Setzen Sie auf Eigenverbrauch! Mit den innovativen Lösungen von smart1 easy steht Ihrem eigenen Energiemanagement nichts mehr im Wege. Der Schwerpunkt unserer Lösungen liegt auf dem richtigen Einsatz erneuerbarer Energien. Mit der gezielten Kombination der einzelnen Bausteine ist eine Eigenverbrauchsquote von 98% erreichbar.
Es ist Ihr Strom, machen Sie das Beste daraus.
It’s Easy.... einfach klicken!",0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
BuF,SMARTFOX PRO,Dafi GmbH,Die intelligente Technologie von SMARTFOX PRO leitet Ihre überschüssige Solarenergie automatisch an Verbraucher innerhalb Ihres Hauses weiter und verbessert somit die Eigenverbrauchsquote Ihres Photovoltaik-Systems. SMARTFOX PRO bedeutet Konnektivität ohne Einschränkungen. Eine Vielzahl an Anbindungsmöglichkeiten bringt größtmögliche Effizienz in Ihre Anlage.,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
BuF,Energiemonitoring,smart-me,"Erst die genaue Kenntnis über die Energieströme, die Identifizierung aller wichtigen Verbraucher, deren Optimierung und gegebenenfalls Austausch kann die Energieeffizienz nachhaltig steigern. Auf der smart-me Plattform können Sie nicht nur live den Verbrauch aller Energiearten nach verfolgen sondern auch historische Daten betrachten. Während das smart-me M-Bus Gateway Messpunkte für Strom, Gas, Wasser, Wärme, Druckluft uvm. übermittelt, liefern die smart-me Energiezähler präzise Stromdaten in die smart-me Cloud.",1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BuF,Solarmanager,Solar Manager,"Mit dem Bau einer Solaranlage entsteht das Bedürfnis, möglichst viel des generierten Solarstroms selbst zu verbrauchen. Dadurch wird der Profit der eigenen Photovoltaik-Anlage maximiert, resp. die Amortisationsdauer minimiert. Der Solar Manager ist ein System, welches genau diese Aufgabe übernimmt. Dazu bietet er eine Visualisierung und eine Eigenverbrauchsoptimierung.",1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
BuF,Smart Energy Management System - SEMS,Stignergy SA,"Mit unserer neuen Technologie, die auf bioinspirierte künstlicher Intelligenz basiert, können SEMS Module, die als “Terminal” bezeichnet werden, für sich selbst den Verbrauch von Geräten, an die sie angeschlossen sind, lernen und analysieren. Diese “Terminal” kommunizieren miteinander; sie tauschen Informationen über ihren Ladezustand aus und können somit den Energiebedarf dank der einfachen ON/OFF Entscheidung eines Algorithmus der in jedem „Terminal“ der gesteuerten Geräte installiert ist, optimieren.",1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BuF,Energiemanager,Yellowstone Soft GmbH,"Mit dem Produkt Smart-E-Control verfügen wir für diesen Themenbereich über eine schlüsselfertige Technologieplattform.
Unsere Hard- und Softwarekomponenten sind optimal aufeinander abgestimmt. Sie bieten zahlreiche Konfigurationsmöglichkeiten und können bei Bedarf mehrere tausend Datenpunkte minütlich erfassen und archivieren.",0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
